,Zone,Year,Disease,Number of Cases,"Rate per 100,000 population"
0,Northern,2014,Malaria,0,0.0
1,Western,2017,Creutzfeldt-Jakob Disease - Classic,0,0.0
2,Nova Scotia,2014,Listeriosis - Invasive,5,0.5
3,Northern,2017,Botulism,0,0.0
4,Western,2014,Salmonellosis,55,28.0
5,Western,2015,Tetanus,0,0.0
6,Western,2014,Influenza,25,12.7
7,Western,2017,Tuberculosis,1,0.5
8,Eastern,2014,Vancomycin resistant Enterococcus (VRE),1,0.6
9,Nova Scotia,2014,Hepatitis B - Chronic,20,2.1
10,Central,2015,Lyme Disease - Probable,18,4.1
11,Northern,2015,Salmonellosis,22,14.7
12,Nova Scotia,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),570,60.0
13,nan,2014,Syphilis - Non-Infectious or Stage Pending,1,0.6
14,Nova Scotia,2017,Campylobacteriosis,185,19.4
15,Nova Scotia,2014,Acute Flaccid Paralysis,1,0.1
16,Central,2015,Salmonellosis,65,14.8
17,Northern,2014,Gonorrhea,9,5.8
18,Central,2015,Cryptosporidiosis,10,2.3
19,Northern,2015,Acquired Immune Deficiency Syndrome,0,0.0
20,Western,2016,Lyme Disease - Confirmed,131,66.9
21,Northern,2014,Creutzfeldt-Jakob Disease - Classic,0,0.0
22,Nova Scotia,2014,West Nile Virus,0,0.0
23,Central,2014,Amebiasis,2,0.5
24,Western,2016,Shigellosis,1,0.5
25,Central,2017,Gonorrhea,192,42.4
26,Western,2014,Shellfish Poisoning,0,0.0
27,Northern,2016,Legionellosis,0,0.0
28,Nova Scotia,2015,Pneumococcal Disease Invasive,52,5.5
29,Nova Scotia,2014,Lyme Disease - Probable,47,5.0
30,Nova Scotia,2016,Lyme Disease - Probable,161,17.0
31,Northern,2014,Listeriosis - Invasive,0,0.0
32,Eastern,2017,Meningococcal Disease Invasive,1,0.6
33,Northern,2015,Group A Streptococcal Disease Invasive -> non-Severe,0,0.0
34,Western,2015,Chlamydia,438,223.8
35,Nova Scotia,2016,Hepatitis C,299,31.5
36,Eastern,2014,Acute Flaccid Paralysis,0,0.0
37,Northern,2016,Shellfish Poisoning,0,0.0
38,Nova Scotia,2015,Giardiasis,87,9.2
39,Northern,2017,Vancomycin resistant Enterococcus (VRE),37,24.8
40,Central,2017,Tuberculosis,5,1.1
41,Nova Scotia,2015,Campylobacteriosis,155,16.4
42,Northern,2016,West Nile Virus,0,0.0
43,Central,2017,Meningococcal Disease Invasive,4,0.9
44,zastern,2014,Listeriosis - Invasive,0,0.0
45,Eastern,2017,Tuberculosis,2,1.3
46,Western,2014,Malaria,2,1.0
47,Eastern,2014,Meningococcal Disease Invasive,2,1.2
48,Nova Scotia,2015,Hepatitis C,357,37.9
49,Western,2014,Lyme Disease - Confirmed,51,25.9
50,Eastern,2017,Acquired Immune Deficiency Syndrome,1,0.6
51,Eastern,2015,Mumps,1,0.6
52,Nova Scotia,2016,Lyme Disease - Confirmed,165,17.4
53,Central,2015,Haemophilus influenzae Type b Invasive Disease,0,0.0
54,Eastern,2016,Cyclosporiasis,0,0.0
55,Central,2016,Typhoid,1,0.2
56,Central,2016,Clostridium difficile,387,86.6
57,Northern,2017,Clostridium difficile,111,74.4
58,Nova Scotia,2017,West Nile Virus,0,0.0
59,Central,2015,Acquired Immune Deficiency Syndrome,3,0.7
60,Northern,2016,Group A Streptococcal Disease Invasive -> Severe,2,1.4
61,Western,2014,Meningitis - Bacterial,0,0.0
62,Central,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),199,44.5
63,Central,2016,Syphilis - Infectious,12,2.7
64,Central,2015,Chlamydia,1725,392.7
65,Eastern,2016,Hepatitis B - Chronic,2,1.3
66,Central,2017,Syphilis - Infectious,18,4.0
67,Western,2014,Legionellosis,0,0.0
68,Central,NULL,Salmonellosis,57,12.8
69,Central,2014,Lyme Disease - Probable,5,1.2
70,Western,2016,Group A Streptococcal Disease Invasive -> non-Severe,6,3.1
71,Eastern,2017,Lyme Disease - Probable,1,0.6
72,Nova Scotia,2016,Chlamydia,2931,308.7
73,Northern,2017,Lyme Disease - Confirmed,34,22.8
74,Central,2014,Shigellosis,6,1.4
75,Central,2014,Mumps,1,0.2
76,Western,2016,Chlamydia,497,253.7
77,Western,2017,Gonorrhea,11,5.6
78,Western,2016,Salmonellosis,29,14.8
79,Central,2014,Hepatitis B - Acute,1,0.2
80,Eastern,2017,Tetanus,0,0.0
81,Western,2015,NULL,52,26.6
82,Eastern,2017,Hepatitis B - Acute,1,0.6
83,Nova Scotia,2014,Malaria,3,0.3
84,Central,2016,Campylobacteriosis,73,16.3
85,Central,2017,Lyme Disease - Probable,23,5.1
86,Nova Scotia,2016,Human Immunodeficiency Virus,16,1.7
87,Central,2017,Clostridium difficile,430,95.0
88,Eastern,2017,Legionellosis,0,0.0
89,Eastern,2015,Meningitis - Bacterial,0,0.0
90,Nova Scotia,2014,Creutzfeldt-Jakob Disease - Classic,2,0.2
91,Nova Scotia,2016,Listeriosis - Invasive,4,0.4
92,Central,2016,Hepatitis B - Acute,6,1.3
93,Western,2017,Syphilis - Infectious,4,2.1
94,Eastern,2017,Meningitis - Bacterial,0,0.0
95,Western,2015,Clostridium difficile,188,96.1
96,Nova Scotia,2017,Meningitis - Bacterial,1,0.1
97,Eastern,2014,Clostridium difficile,158,95.3
98,Central,2016,Pertussis,16,3.6
99,Western,2014,Creutzfeldt-Jakob Disease - Classic,1,0.5
100,Eastern,2017,Pneumococcal Disease Invasive,12,7.6
101,Central,2016,Lyme Disease - Probable,13,2.9
102,Western,2017,Acquired Immune Deficiency Syndrome,0,0.0
103,Western,2015,Haemophilus influenzae Type b Invasive Disease,0,0.0
104,Western,2017,Lyme Disease - Probable,248,127.3
105,Western,2016,Haemophilus influenzae Type b Invasive Disease,0,0.0
106,Eastern,2017,Hepatitis B - Chronic,1,0.6
107,Northern,2015,Lyme Disease - Probable,6,4.0
108,Western,2017,Group B Streptococcal Disease of the Newborn,0,0.0
109,Eastern,2016,Malaria,2,1.3
110,N/A,2014,Acute Flaccid Paralysis,0,0.0
111,Nova Scotia,2016,Hepatitis B - Chronic,13,1.4
112,Nova Scotia,2015,Lyme Disease - Confirmed,124,13.1
113,Northern,2017,Meningitis - Bacterial,0,0.0
114,Northern,2015,Acute Flaccid Paralysis,0,0.0
115,Nova Scotia,2016,Tuberculosis,2,0.2
116,Central,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),183,40.4
117,Eastern,2017,Salmonellosis,31,19.7
118,Nova Scotia,2017,Salmonellosis,171,17.9
119,Northern,2016,Hepatitis A,0,0.0
120,Eastern,2016,Salmonellosis,20,12.6
121,Nova Scotia,2014,Tetanus,0,0.0
122,Central,2016,Cryptosporidiosis,6,1.3
123,Northern,2015,Giardiasis,12,8.0
124,Northern,2014,Amebiasis,0,0.0
125,Western,2014,Chlamydia,395,200.9
126,Western,2014,West Nile Virus,0,0.0
127,Northern,2016,Rubella,0,0.0
128,Nova Scotia,2014,Acquired Immune Deficiency Syndrome,2,0.2
129,Nova Scotia,2015,Haemophilus influenzae Type b Invasive Disease,0,0.0
130,Western,2015,West Nile Virus,0,0.0
131,Northern,2017,Lyme Disease - Probable,7,4.7
132,Northern,2014,West Nile Virus,0,0.0
133,Eastern,2015,Creutzfeldt-Jakob Disease - Classic,0,0.0
134,Nova Scotia,2017,Acquired Immune Deficiency Syndrome,1,0.1
135,Northern,2017,Measles,0,0.0
136,Central,2017,Human Immunodeficiency Virus,8,1.8
137,Western,2016,Listeriosis - Invasive,0,0.0
138,Western,2014,Hepatitis B - Acute,1,0.5
139,Northern,2015,Malaria,0,0.0
140,Western,2017,Salmonellosis,42,21.6
141,Central,2015,Influenza,354,80.6
142,Westfrn,2014,Lyme Disease - Probable,41,20.8
143,Central,NULL,Meningococcal Disease Invasive,1,0.2
144,Nova Scotia,2017,Syphilis - Non-Infectious or Stage Pending,12,1.3
145,Central,2016,Tuberculosis,2,0.4
146,Nova Scotia,NA,Mumps,1,0.1
147,Northern,2016,Hepatitis B - Chronic,0,0.0
148,Northern,2016,Clostridium difficile,122,82.4
149,Nova Scotia,2016,Syphilis - Infectious,18,1.9
150,Central,2015,Lyme Disease - Confirmed,16,3.2
151,Eastern,2017,Gonorrhea,12,7.6
152,Central,2014,Campylobacteriosis,86,20.4
153,Central,2017,Malaria,1,0.2
154,N/A,2014,Encephalitis - Viral,0,0.0
155,Western,2017,Group A Streptococcal Disease Invasive -> non-Severe,1,0.5
156,Eastern,2015,Meningococcal Disease Invasive,3,1.9
157,Northern,2017,Human Immunodeficiency Virus,1,0.7
158,Western,2014,Group A Streptococcal Disease Invasive -> Severe,2,1.0
159,Western,2016,Botulism,0,0.0
160,Northern,2017,Group A Streptococcal Disease Invasive -> non-Severe,9,6.0
161,Nova Scotia,2015,Meningococcal Disease Invasive,7,0.7
162,Central,2015,Vancomycin resistant Enterococcus (VRE),3,0.7
163,Northern,2015,Shigellosis,0,0.0
164,Western,2016,Lyme Disease - Probable,142,72.5
165,Eastern,2015,Rubella,0,0.0
166,Northern,2015,Creutzfeldt-Jakob Disease - Classic,0,0.0
167,Nova Scotia,2016,Verotoxigenic E. coli,5,0.5
168,Western,2016,Mumps,0,0.0
169,Nova Scotia,2017,Malaria,3,0.3
170,Northern,2016,Tetanus,0,0.0
171,Western,2014,Toxoplasmosis,0,0.0
172,Eastern,2014,Legionellosis,0,0.0
173,Nova Scotia,2014,Meningococcal Disease Invasive,3,0.3
174,Eastern,2015,Syphilis - Non-Infectious or Stage Pending,1,0.6
175,Nova Scotia,2016,Gonorrhea,202,21.3
176,Western,2016,Tetanus,0,0.0
177,Eastern,2015,Human Immunodeficiency Virus,0,0.0
178,Nova Scotia,2017,Listeriosis - Invasive,4,0.4
179,Eastern,2015,Acquired Immune Deficiency Syndrome,0,0.0
180,Central,2017,West Nile Virus,0,0.0
181,Eastern,2014,Acquired Immune Deficiency Syndrome,1,0.6
182,Central,2016,Legionellosis,1,0.2
183,Eastern,2017,Typhoid,1,0.6
184,Central,2016,Hepatitis C,95,21.3
185,Eastern,2016,Hepatitis A,0,0.0
186,Western,2014,Pneumococcal Disease Invasive,21,10.7
187,Eastern,2015,Botulism,0,0.0
188,Western,2014,Meningococcal Disease Invasive,1,0.5
189,Western,2016,Legionellosis,0,0.0
190,Nova Scotia,2017,Tuberculosis,8,0.8
191,Central,2014,Syphilis - Infectious,50,11.9
192,Central,2015,Verotoxigenic E. coli,3,nan
193,Western,2015,Pertussis,53,27.1
194,Eastern,2014,Malaria,0,0.0
195,Northern,2014,Acquired Immune Deficiency Syndrome,0,0.0
196,Eastern,2015,Legionellosis,0,0.0
197,Nova Scotia,2015,Cryptosporidiosis,17,1.8
198,Central,2017,Chlamydia,1823,402.7
199,Western,2017,Meningococcal Disease Invasive,1,0.5
200,Western,2015,Botulism,nan,0.0
201,Central,2014,Toxoplasmosis,2,0.5
202,Nova Scotia,2017,Human Immunodeficiency Virus,15,1.6
203,Western,2014,Listeriosis - Invasive,1,0.5
204,Central,2015,Hepatitis B - Chronic,6,1.4
205,Eastern,2015,Shigellosis,1,0.6
206,Nova Scotia,2015,Listeriosis - Invasive,8,0.8
207,Eastern,2016,NA,98,61.9
208,Northern,2016,Pneumococcal Disease Invasive,10,6.8
209,Western,2015,Campylobacteriosis,56,28.6
210,Northern,2017,Cryptosporidiosis,9,6.0
211,Western,2016,Hepatitis A,0,0.0
212,Northern,2017,Syphilis - Infectious,0,0.0
213,Eastern,2014,Typhoid,1,0.6
214,Western,2017,Haemophilus influenzae Type b Invasive Disease,0,0.0
215,Nova Scotia,2015,Lyme Disease - Probable,130,13.8
216,Nova Scotia,2016,Group B Streptococcal Disease of the Newborn,3,0.3
217,Western,2015,Pneumococcal Disease Invasive,NA,5.1
218,Eastern,2015,Chlamydia,387,243.2
219,Northern,2016,Tuberculosis,0,0.0
220,Eastern,2016,Hepatitis B - Acute,1,0.6
221,Eastern,2016,Lyme Disease - Confirmed,0,0.0
222,Nova Scotia,2014,Group B Streptococcal Disease of the Newborn,1,0.1
223,Western,2014,Group A Streptococcal Disease Invasive -> non-Severe,2,1.0
224,Western,2015,Lyme Disease - Confirmed,103,52.6
225,Eastern,2014,Yersiniosis,0,0.0
226,Western,2016,Campylobacteriosis,55,28.1
227,Nova Scotia,2017,Gonorrhea,233,24.4
228,Central,2016,Influenza,110,24.6
229,Northern,2014,Toxoplasmosis,0,0.0
230,Central,2017,Listeriosis - Invasive,4,0.9
231,Nova Scotia,2014,Encephalitis - Viral,1,0.1
232,Nova Scotia,2016,Campylobacteriosis,170,17.9
233,Northern,2016,Malaria,1,0.7
234,Central,2014,Hepatitis C,109,25.9
235,Eastern,2016,Acquired Immune Deficiency Syndrome,0,0.0
236,Northern,2014,Shigellosis,2,1.3
237,Northern,2014,Rubella,0,
238,Eastern,2015,Listeriosis - Invasive,1,0.6
239,Nova Scotia,2014,Haemophilus influenzae Type b Invasive Disease,0,0.0
240,Northern,2016,Lyme Disease - Confirmed,12,8.1
241,Western,2014,Group B Streptococcal Disease of the Newborn,1,0.5
242,Northern,2016,Meningitis - Bacterial,0,0.0
243,Northern,2017,Tuberculosis,0,0.0
244,Nova Scotia,2014,Shellfish Poisoning,0,0.0
245,Nova Scotia,2016,Hepatitis A,11,1.2
246,Eastern,2014,Cyclosporiasis,0,0.0
247,Eastern,2017,Botulism,0,0.0
248,Eastern,2014,Verotoxigenic E. coli,1,0.6
249,N/A,2015,Lyme Disease - Confirmed,1,0.6
250,Central,2016,Group A Streptococcal Disease Invasive -> non-Severe,4,0.9
251,Central,2016,Haemophilus influenzae Type b Invasive Disease,0,0.0
252,Western,2016,Vancomycin resistant Enterococcus (VRE),2,1.0
253,Western,2014,Hepatitis B - Chronic,1,0.5
254,Western,2014,Botulism,0,0.0
255,Central,2014,Meningitis - Bacterial,1,0.2
256,Western,2016,Syphilis - Infectious,3,1.5
257,Western,2016,Group A Streptococcal Disease Invasive -> Severe,2,1.0
258,Western,2017,Hepatitis B - Chronic,7,3.6
259,Eastern,2014,Q-Fever,0,0.0
260,Central,2016,Hepatitis B - Chronic,9,2.0
261,Eastern,2017,Group B Streptococcal Disease of the Newborn,0,0.0
262,Eastern,2017,Mumps,0,0.0
263,Western,2017,Measles,22,11.3
264,Central,2016,Group B Streptococcal Disease of the Newborn,1,0.2
265,Western,2014,Human Immunodeficiency Virus,0,0.0
266,Eastern,2017,Clostridium difficile,208,132.3
267,Eastern,2016,Giardiasis,14,8.8
268,Northern,2015,Hepatitis B - Acute,3,2.0
269,Northern,2014,Meningitis - Viral,3,1.9
270,Nova Scotia,2014,Group A Streptococcal Disease Invasive -> non-Severe,14,1.5
271,Western,2015,Human Immunodeficiency Virus,0,0.0
272,Nova Scotia,2014,Typhoid,2,0.2
273,Western,2015,Group A Streptococcal Disease Invasive -> Severe,1,0.5
274,Northern,2014,Cryptosporidiosis,14,9.0
275,Northern,2014,Meningococcal Disease Invasive,0,0.0
276,Central,2014,Group A Streptococcal Disease Invasive -> non-Severe,5,1.2
277,Northern,2015,Chlamydia,310,207.8
278,Eastern,2014,Toxoplasmosis,1,0.6
279,Nova Scotia,2017,Hepatitis A,2,0.2
280,Nova Scotia,2015,Mumps,6,0.6
281,Northern,2015,Clostridium difficile,105,70.4
282,Nova Scotia,2014,Legionellosis,3,0.3
283,Nova Scotia,2017,Syphilis - Infectious,26,2.7
284,Eastern,2014,Group B Streptococcal Disease of the Newborn,0,0.0
285,Nova Scotia,2015,Botulism,0,0.0
286,Nova Scotia,2014,Cyclosporiasis,1,0.1
287,Nova Scotia,2015,Hepatitis B - Chronic,9,1.0
288,Western,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),150,76.6
289,Nova Scotia,2017,Clostridium difficile,927,97.2
290,Central,2014,Cryptosporidiosis,9,2.1
291,Eastern,nan,Hepatitis B - Chronic,2,1.2
292,Eastern,2014,Shigellosis,0,0.0
293,Eastern,2014,Giardiasis,11,6.6
294,Western,2015,Legionellosis,0,0.0
295,Nova Scotia,2014,Lyme Disease - Confirmed,68,7.2
296,Eastern,2016,Mumps,0,0.0
297,Nova Scotia,2017,Hepatitis B - Acute,6,0.6
298,Northern,2015,Cyclosporiasis,0,0.0
299,Nova Scotia,2016,Botulism,0,0.0
300,Western,2017,Vancomycin resistant Enterococcus (VRE),1,0.5
301,Nova Scotia,2017,Pneumococcal Disease Invasive,49,5.1
302,Central,2016,Chlamydia,1770,395.9
303,Central,2017,Vancomycin resistant Enterococcus (VRE),78,17.2
304,Western,2017,Hepatitis B - Acute,0,0.0
305,Eastern,2015,Campylobacteriosis,6,3.8
306,Eastern,2014,Hepatitis C,106,64.0
307,Nova Scotia,2016,Hepatitis B - Acute,10,1.1
308,Nova Scotia,2016,Rubella,0,0.0
309,Nova Scotia,2015,Creutzfeldt-Jakob Disease - Classic,0,0.0
310,Western,2016,Meningitis - Bacterial,0,0.0
311,Northern,2015,Lyme Disease - Confirmed,4,2.7
312,Central,2016,Cyclosporiasis,2,0.4
313,Western,2014,Yersiniosis,0,0.0
314,Eastern,2014,Lymphogranuloma Venereum,0,0.0
315,Western,2017,Group A Streptococcal Disease Invasive -> Severe,4,2.1
316,Nova Scotia,2015,Tetanus,0,0.0
317,Central,2015,Legionellosis,7,1.6
318,Western,2017,Shigellosis,3,1.5
319,Western,2017,Meningitis - Bacterial,1,0.5
320,Western,2015,Creutzfeldt-Jakob Disease - Classic,0,0.0
321,Central,2014,Meningococcal Disease Invasive,0,0.0
322,Western,2015,Listeriosis - Invasive,3,1.5
323,Central,2014,Syphilis - Non-Infectious or Stage Pending,29,6.9
324,Western,2016,Giardiasis,26,13.3
325,Central,2017,Cyclosporiasis,1,0.2
326,Central,2015,West Nile Virus,0,0.0
327,Western,2016,Cyclosporiasis,0,0.0
328,Northern,2014,Human Immunodeficiency Virus,0,0.0
329,Nova Scotia,2017,Acute Flaccid Paralysis,0,0.0
330,Nova Scotia,2017,Vancomycin resistant Enterococcus (VRE),121,12.7
331,Northern,2017,Hepatitis A,0,0.0
332,Western,2017,Legionellosis,0,0.0
333,Northern,2015,Verotoxigenic E. coli,1,0.7
334,Western,2014,Encephalitis - Viral,0,0.0
335,Northern,2014,Methicillin Resistant Staphylococcus Aureus (MRSA),109,70.4
336,Nova Scotia,2014,Shigellosis,9,1.0
337,Eastern,2015,Vancomycin resistant Enterococcus (VRE),0,0.0
338,Western,2017,Syphilis - Non-Infectious or Stage Pending,1,0.5
339,Eastern,2015,Typhoid,0,0.0
340,Western,2015,Shigellosis,1,0.5
341,Nova Scotia,2014,Botulism,0,0.0
342,Western,2017,Human Immunodeficiency Virus,3,1.5
343,Western,2017,Tuberculosis,1,0.5
344,Eastern,2014,Tuberculosis,0,0.0
345,Western,2016,Rubella,0,0.0
346,Central,,Legionellosis,8,1.8
347,Eastern,2015,Salmonellosis,38,23.9
348,Eastern,2016,Group B Streptococcal Disease of the Newborn,1,0.6
349,Central,2017,Pneumococcal Disease Invasive,17,3.8
350,Eastern,2015,West Nile Virus,0,0.0
351,Western,NA,Mumps,0,0.0
352,Western,2015,Hepatitis B - Chronic,1,0.5
353,Western,2014,Verotoxigenic E. coli,2,1.0
354,Eastern,2014,Lyme Disease - Probable,0,0.0
355,Central,2014,Lymphogranuloma Venereum,0,0.0
356,Northern,2015,Tetanus,0,0.0
357,Central,2016,Syphilis - Non-Infectious or Stage Pending,12,2.7
358,Western,2016,Meningococcal Disease Invasive,1,0.5
359,Nova Scotia,2015,Shellfish Poisoning,0,0.0
360,Central,2017,Giardiasis,46,10.2
361,Central,2015,Pneumococcal Disease Invasive,22,5.0
362,Nova Scotia,2017,Haemophilus influenzae Type b Invasive Disease,1,0.1
363,Western,2014,Shigellosis,1,0.5
364,Northern,2015,Meningococcal Disease Invasive,1,-0.7
365,Northern,2017,Methicillin Resistant Staphylococcus Aureus (MRSA),121,81.1
366,Northern,2016,Vancomycin resistant Enterococcus (VRE),NULL,0.7
367,Western,2015,Lyme Disease - Probable,106,54.2
368,Northern,2014,Meningitis - Bacterial,1,0.6
369,Eastern,2016,Malaria,2,1.3
370,Eastern,2015,Cryptosporidiosis,3,1.9
371,Western,2015,Verotoxigenic E. coli,1,0.5
372,Eastern,2014,West Nile Virus,0,0.0
373,Northern,2014,Typhoid,0,0.0
374,Central,2017,Hepatitis B - Chronic,10,2.2
375,Eastern,2015,Gonorrhea,6,3.8
376,Western,2015,Cryptosporidiosis,2,1.0
377,Eastern,2017,Chlamydia,381,242.3
378,Eastern,2017,Syphilis - Infectious,4,2.5
379,Western,2014,Amebiasis,1,0.5
380,Eastern,2016,Haemophilus influenzae Type b Invasive Disease,0,0.0
381,Nova Scotia,2016,Acute Flaccid Paralysis,0,0.0
382,Central,2014,Tetanus,0,0.0
383,Eastern,2016,Shellfish Poisoning,0,0.0
384,Western,2017,Lyme Disease - Confirmed,223,114.5
385,Nova Scotia,2016,Cryptosporidiosis,27,2.8
386,Eastern,2016,Rubella,0,0.0
387,Northern,2015,Syphilis - Infectious,2,1.3
388,Northern,2017,Acquired Immune Deficiency Syndrome,0,0.0
389,Nova Scotia,2014,Pertussis,11,1.2
390,Eastern,2017,Syphilis - Non-Infectious or Stage Pending,3,1.9
391,Eastern,2015,Cyclosporiasis,0,0.0
392,Central,2017,Haemophilus influenzae Type b Invasive Disease,1,0.2
393,Northern,2017,Haemophilus influenzae Type b Invasive Disease,0,0.0
394,Western,2014,Hepatitis C,29,14.7
395,Northern,2017,Creutzfeldt-Jakob Disease - Classic,0,0.0
396,Central,2016,Shigellosis,6,1.3
397,Northern,2014,Hepatitis B - Acute,0,0.0
398,Northern,2016,Campylobacteriosis,22,14.9
399,Northern,2017,Meningococcal Disease Invasive,0,0.0
400,Central,2015,Hepatitis B - Acute,5,1.1
401,Eastern,2015,Tetanus,0,0.0
402,Eastern,2016,Campylobacteriosis,19,12.0
403,Nova Scotia,2014,Amebiasis,3,0.3
404,Western,2016,Verotoxigenic E. coli,1,0.5
405,Eastern,2015,Group A Streptococcal Disease Invasive -> Severe,2,1.3
406,Eastern,2014,Haemophilus influenzae Type b Invasive Disease,0,0.0
407,Central,2016,Malaria,3,0.7
408,Northern,2014,Group B Streptococcal Disease of the Newborn,0,0.0
409,Western,2014,Tuberculosis,0,0.0
410,Eastern,2015,Malaria,1,0.6
411,Northern,2015,Mumps,0,0.0
412,Eastern,2014,Human Immunodeficiency Virus,1,0.6
413,Northern,2015,Shellfish Poisoning,0,0.0
414,Western,2016,Group B Streptococcal Disease of the Newborn,0,0.0
415,Eastern,2014,Pertussis,0,0.0
416,Northern,2016,Giardiasis,20,13.5
417,Nova Scotia,2017,Shigellosis,10,1.0
418,Nova Scotia,2017,Measles,29,3.0
419,Eastern,2016,Typhoid,0,0.0
420,Nova Scotia,2015,Typhoid,0,0.0
421,Western,2014,Haemophilus influenzae Type b Invasive Disease,0,0.0
422,Nova Scotia,2017,Group B Streptococcal Disease of the Newborn,3,0.3
423,Western,2014,Syphilis - Infectious,4,2.0
424,Central,2016,Acute Flaccid Paralysis,0,0.0
425,Nova Scotia,2016,Acquired Immune Deficiency Syndrome,1,0.1
426,Eastern,2016,Human Immunodeficiency Virus,0,0.0
427,Western,2014,Lymphogranuloma Venereum,0,nan
428,Northern,2016,Lyme Disease - Probable,6,4.1
429,Nova Scotia,2014,Syphilis - Infectious,63,6.7
430,Nova Scotia,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),625,66.3
431,Eastern,2015,Pneumococcal Disease Invasive,10,6.3
432,Nova Scotia,2016,Pertussis,63,6.6
433,Northern,2016,Methicillin Resistant Staphylococcus Aureus (MRSA),130,87.8
434,Eastern,2014,Hepatitis A,1,0.6
435,Eastern,2014,Lyme Disease - Confirmed,2,1.2
436,Central,2014,Yersiniosis,1,0.2
437,Central,N/A,Chlamydia,1680,398.5
438,Nova Scotia,2015,Syphilis - Non-Infectious or Stage Pending,28,3.0
439,Eastern,2015,Verotoxigenic E. coli,0,0.0
440,Central,2015,Acute Flaccid Paralysis,0,0.0
441,Northern,2017,Mumps,0,0.0
442,Northern,2017,Hepatitis B - Acute,1,0.7
443,Npva Scotua,2017,Chlamydia,2988,313.3
444,Northern,2014,Haemophilus influenzae Type b Invasive Disease,0,0.0
445,Eastern,2016,Clostridium difficile,186,117.4
446,Eastern,2015,Methicillin Resistant Staphylococcus Aureus (MRSA),132,83.0
447,Northern,2014,Vancomycin resistant Enterococcus (VRE),7,4.5
448,Central,2015,Typhoid,0,0.0
449,Northern,2017,West Nile Virus,0,0.0
450,Northern,2015,Hepatitis B - Chronic,2,1.3
451,Nova Scotia,2014,Meningitis - Viral,15,1.6
452,Nova Scotia,2014,Pneumococcal Disease Invasive,66,7.0
